Day;AnimalsCount;GrassCount;FreeFields;AvgAnimalEnergy;AvgDaysAlive;AvgChildCount;MostPopularGen
1;40;169;4831;100;0;0;[3  5  4  1  6  2  0  5  0  5]
2;40;268;4732;95;0;0;[3  5  4  1  6  2  0  5  0  5]
3;40;366;4634;91;0;0;[3  5  4  1  6  2  0  5  0  5]
4;40;464;4536;87;0;0;[3  5  4  1  6  2  0  5  0  5]
5;40;563;4437;82;0;0;[3  5  4  1  6  2  0  5  0  5]
6;40;658;4342;78;0;0;[3  5  4  1  6  2  0  5  0  5]
7;40;754;4246;75;0;0;[3  5  4  1  6  2  0  5  0  5]
8;40;846;4154;71;0;0;[3  5  4  1  6  2  0  5  0  5]
9;40;940;4060;69;0;0;[3  5  4  1  6  2  0  5  0  5]
10;40;1035;3965;66;0;0;[3  5  4  1  6  2  0  5  0  5]
11;40;1130;3870;63;0;0;[3  5  4  1  6  2  0  5  0  5]
12;40;1221;3779;60;0;0;[3  5  4  1  6  2  0  5  0  5]
13;40;1269;3731;58;0;0;[3  5  4  1  6  2  0  5  0  5]
14;40;1289;3711;57;0;0;[3  5  4  1  6  2  0  5  0  5]
15;40;1307;3693;55;0;0;[3  5  4  1  6  2  0  5  0  5]
16;40;1324;3676;54;0;0;[3  5  4  1  6  2  0  5  0  5]
17;40;1342;3658;53;0;0;[3  5  4  1  6  2  0  5  0  5]
18;40;1358;3642;51;0;0;[3  5  4  1  6  2  0  5  0  5]
19;40;1375;3625;50;0;0;[3  5  4  1  6  2  0  5  0  5]
20;40;1390;3610;49;0;0;[3  5  4  1  6  2  0  5  0  5]
21;27;1409;3591;70;7;0;[3  5  4  1  6  2  0  5  0  5]
22;27;1429;3571;68;7;0;[3  5  4  1  6  2  0  5  0  5]
23;28;1448;3552;66;7;0;[3  5  4  1  6  2  0  5  0  5]
24;17;1468;3532;101;11;0;[7  6  6  3  7  4  6  0  1  2]
25;17;1488;3512;101;11;0;[7  6  6  3  7  4  6  0  1  2]
26;17;1507;3493;99;11;0;[7  6  6  3  7  4  6  0  1  2]
27;15;1526;3474;114;12;0;[7  6  6  3  7  4  6  0  1  2]
28;15;1546;3454;116;12;0;[7  6  6  3  7  4  6  0  1  2]
29;15;1566;3434;117;12;0;[7  6  6  3  7  4  6  0  1  2]
30;12;1586;3414;149;13;0;[4  0  6  2  4  5  2  2  4  1]
31;12;1605;3395;154;13;0;[4  0  6  2  4  5  2  2  4  1]
32;12;1625;3375;158;13;0;[4  0  6  2  4  5  2  2  4  1]
33;12;1644;3356;163;13;0;[4  0  6  2  4  5  2  2  4  1]
34;12;1663;3337;166;13;0;[4  0  6  2  4  5  2  2  4  1]
35;12;1683;3317;173;13;0;[4  0  6  2  4  5  2  2  4  1]
36;11;1703;3297;194;13;0;[4  0  6  2  4  5  2  2  4  1]
37;11;1722;3278;197;13;0;[4  0  6  2  4  5  2  2  4  1]
38;11;1742;3258;200;13;0;[4  0  6  2  4  5  2  2  4  1]
39;11;1762;3238;203;13;0;[4  0  6  2  4  5  2  2  4  1]
40;11;1781;3219;206;13;0;[4  0  6  2  4  5  2  2  4  1]
41;11;1799;3201;211;13;0;[4  0  6  2  4  5  2  2  4  1]
42;11;1819;3181;217;13;0;[4  0  6  2  4  5  2  2  4  1]
43;11;1837;3163;219;13;0;[4  0  6  2  4  5  2  2  4  1]
44;11;1855;3145;223;13;0;[4  0  6  2  4  5  2  2  4  1]
45;11;1874;3126;229;13;0;[4  0  6  2  4  5  2  2  4  1]
46;11;1894;3106;234;13;0;[4  0  6  2  4  5  2  2  4  1]
47;11;1913;3087;240;13;0;[4  0  6  2  4  5  2  2  4  1]
48;11;1933;3067;245;13;0;[4  0  6  2  4  5  2  2  4  1]
49;11;1953;3047;251;13;0;[4  0  6  2  4  5  2  2  4  1]
50;11;1972;3028;257;13;0;[4  0  6  2  4  5  2  2  4  1]
51;10;1992;3008;293;14;0;[4  0  6  2  4  5  2  2  4  1]
52;10;2012;2988;298;14;0;[4  0  6  2  4  5  2  2  4  1]
53;10;2031;2969;305;14;0;[4  0  6  2  4  5  2  2  4  1]
54;10;2051;2949;314;14;0;[4  0  6  2  4  5  2  2  4  1]
55;10;2070;2930;321;14;0;[4  0  6  2  4  5  2  2  4  1]
56;10;2090;2910;329;14;0;[4  0  6  2  4  5  2  2  4  1]
57;10;2110;2890;336;14;0;[4  0  6  2  4  5  2  2  4  1]
58;10;2129;2871;343;14;0;[4  0  6  2  4  5  2  2  4  1]
59;10;2148;2852;352;14;0;[4  0  6  2  4  5  2  2  4  1]
60;10;2168;2832;360;14;0;[4  0  6  2  4  5  2  2  4  1]
61;10;2187;2813;366;14;0;[4  0  6  2  4  5  2  2  4  1]
62;10;2206;2794;373;14;0;[4  0  6  2  4  5  2  2  4  1]
63;11;2226;2774;377;14;0;[4  0  6  2  4  5  2  2  4  1]
64;11;2245;2755;345;14;0;[4  0  6  2  4  5  2  2  4  1]
65;11;2263;2737;348;14;0;[4  0  6  2  4  5  2  2  4  1]
66;11;2283;2717;352;14;0;[4  0  6  2  4  5  2  2  4  1]
67;11;2302;2698;355;14;0;[4  0  6  2  4  5  2  2  4  1]
68;11;2322;2678;360;14;0;[4  0  6  2  4  5  2  2  4  1]
69;11;2342;2658;363;14;0;[4  0  6  2  4  5  2  2  4  1]
70;11;2362;2638;368;14;0;[4  0  6  2  4  5  2  2  4  1]
71;11;2381;2619;374;14;0;[4  0  6  2  4  5  2  2  4  1]
72;11;2401;2599;378;14;0;[4  0  6  2  4  5  2  2  4  1]
73;11;2420;2580;383;14;0;[4  0  6  2  4  5  2  2  4  1]
74;11;2440;2560;386;14;0;[4  0  6  2  4  5  2  2  4  1]
75;11;2459;2541;390;14;0;[4  0  6  2  4  5  2  2  4  1]
76;11;2478;2522;396;14;0;[4  0  6  2  4  5  2  2  4  1]
77;11;2497;2503;401;14;0;[4  0  6  2  4  5  2  2  4  1]
78;11;2516;2484;404;14;0;[4  0  6  2  4  5  2  2  4  1]
79;11;2534;2466;409;14;0;[4  0  6  2  4  5  2  2  4  1]
80;11;2553;2447;415;14;0;[4  0  6  2  4  5  2  2  4  1]
81;11;2571;2429;419;14;0;[4  0  6  2  4  5  2  2  4  1]
82;11;2589;2411;425;14;0;[4  0  6  2  4  5  2  2  4  1]
83;11;2609;2391;430;14;0;[4  0  6  2  4  5  2  2  4  1]
84;11;2629;2371;433;14;0;[4  0  6  2  4  5  2  2  4  1]
85;11;2649;2351;437;14;0;[4  0  6  2  4  5  2  2  4  1]
86;10;2669;2331;486;15;0;[4  0  6  2  4  5  2  2  4  1]
87;10;2689;2311;495;15;0;[4  0  6  2  4  5  2  2  4  1]
88;10;2709;2291;502;15;0;[4  0  6  2  4  5  2  2  4  1]
89;10;2729;2271;510;15;0;[4  0  6  2  4  5  2  2  4  1]
90;10;2749;2251;519;15;0;[4  0  6  2  4  5  2  2  4  1]
91;10;2769;2231;527;15;0;[4  0  6  2  4  5  2  2  4  1]
92;10;2787;2213;534;15;0;[4  0  6  2  4  5  2  2  4  1]
93;10;2806;2194;544;15;0;[4  0  6  2  4  5  2  2  4  1]
94;10;2825;2175;553;15;0;[4  0  6  2  4  5  2  2  4  1]
95;10;2845;2155;561;15;0;[4  0  6  2  4  5  2  2  4  1]
96;10;2865;2135;568;15;0;[4  0  6  2  4  5  2  2  4  1]
97;10;2885;2115;575;15;0;[4  0  6  2  4  5  2  2  4  1]
98;10;2904;2096;581;15;0;[4  0  6  2  4  5  2  2  4  1]
99;10;2923;2077;588;15;0;[4  0  6  2  4  5  2  2  4  1]
100;10;2943;2057;595;15;0;[4  0  6  2  4  5  2  2  4  1]
101;10;2962;2038;599;15;0;[4  0  6  2  4  5  2  2  4  1]
102;10;2980;2020;604;15;0;[4  0  6  2  4  5  2  2  4  1]
103;11;2999;2001;608;15;0;[4  0  6  2  4  5  2  2  4  1]
104;11;3016;1984;555;15;1;[4  0  6  2  4  5  2  2  4  1]
105;11;3034;1966;560;15;1;[4  0  6  2  4  5  2  2  4  1]
106;11;3053;1947;563;15;1;[4  0  6  2  4  5  2  2  4  1]
107;11;3071;1929;567;15;1;[4  0  6  2  4  5  2  2  4  1]
108;11;3089;1911;573;15;1;[4  0  6  2  4  5  2  2  4  1]
109;11;3109;1891;579;15;1;[4  0  6  2  4  5  2  2  4  1]
110;11;3128;1872;584;15;1;[4  0  6  2  4  5  2  2  4  1]
111;11;3144;1856;591;15;1;[4  0  6  2  4  5  2  2  4  1]
112;11;3164;1836;600;15;1;[4  0  6  2  4  5  2  2  4  1]
113;11;3183;1817;605;15;1;[4  0  6  2  4  5  2  2  4  1]
114;11;3201;1799;610;15;1;[4  0  6  2  4  5  2  2  4  1]
115;11;3219;1781;619;15;1;[4  0  6  2  4  5  2  2  4  1]
116;11;3239;1761;627;15;1;[4  0  6  2  4  5  2  2  4  1]
117;11;3257;1743;630;15;1;[4  0  6  2  4  5  2  2  4  1]
118;11;3277;1723;635;15;1;[4  0  6  2  4  5  2  2  4  1]
119;11;3297;1703;638;15;1;[4  0  6  2  4  5  2  2  4  1]
120;11;3315;1685;641;15;1;[4  0  6  2  4  5  2  2  4  1]
121;11;3332;1668;647;15;1;[4  0  6  2  4  5  2  2  4  1]
122;11;3352;1648;655;15;1;[4  0  6  2  4  5  2  2  4  1]
123;12;3371;1629;656;15;1;[4  0  6  2  4  5  2  2  4  1]
124;12;3389;1611;605;15;1;[4  0  6  2  4  5  2  2  4  1]
125;12;3407;1593;610;15;1;[4  0  6  2  4  5  2  2  4  1]
126;12;3424;1576;615;15;1;[4  0  6  2  4  5  2  2  4  1]
127;12;3443;1557;623;15;1;[4  0  6  2  4  5  2  2  4  1]
128;12;3463;1537;628;15;1;[4  0  6  2  4  5  2  2  4  1]
129;12;3483;1517;633;15;1;[4  0  6  2  4  5  2  2  4  1]
130;12;3501;1499;638;15;1;[4  0  6  2  4  5  2  2  4  1]
131;12;3518;1482;647;15;1;[4  0  6  2  4  5  2  2  4  1]
132;12;3536;1464;655;15;1;[4  0  6  2  4  5  2  2  4  1]
133;12;3555;1445;662;15;1;[4  0  6  2  4  5  2  2  4  1]
134;12;3574;1426;670;15;1;[4  0  6  2  4  5  2  2  4  1]
135;12;3593;1407;676;15;1;[4  0  6  2  4  5  2  2  4  1]
136;12;3613;1387;682;15;1;[4  0  6  2  4  5  2  2  4  1]
137;12;3632;1368;687;15;1;[4  0  6  2  4  5  2  2  4  1]
138;12;3650;1350;693;15;1;[4  0  6  2  4  5  2  2  4  1]
139;12;3668;1332;701;15;1;[4  0  6  2  4  5  2  2  4  1]
140;12;3686;1314;708;15;1;[4  0  6  2  4  5  2  2  4  1]
141;12;3703;1297;715;15;1;[4  0  6  2  4  5  2  2  4  1]
142;12;3722;1278;723;15;1;[4  0  6  2  4  5  2  2  4  1]
143;13;3739;1261;727;15;1;[4  0  6  2  4  5  2  2  4  1]
144;13;3757;1243;677;15;1;[7  6  6  3  7  4  6  0  1  2]
145;13;3776;1224;681;15;1;[7  6  6  3  7  4  6  0  1  2]
146;13;3796;1204;684;15;1;[7  6  6  3  7  4  6  0  1  2]
147;13;3813;1187;688;15;1;[7  6  6  3  7  4  6  0  1  2]
148;13;3830;1170;695;15;1;[7  6  6  3  7  4  6  0  1  2]
149;13;3850;1150;703;15;1;[7  6  6  3  7  4  6  0  1  2]
150;13;3869;1131;708;15;1;[7  6  6  3  7  4  6  0  1  2]
151;13;3889;1111;716;15;1;[7  6  6  3  7  4  6  0  1  2]
152;13;3908;1092;720;15;1;[7  6  6  3  7  4  6  0  1  2]
153;13;3924;1076;725;15;1;[7  6  6  3  7  4  6  0  1  2]
154;13;3942;1058;733;15;1;[7  6  6  3  7  4  6  0  1  2]
155;13;3959;1041;741;15;1;[7  6  6  3  7  4  6  0  1  2]
156;13;3977;1023;750;15;1;[7  6  6  3  7  4  6  0  1  2]
157;13;3993;1007;756;15;1;[7  6  6  3  7  4  6  0  1  2]
158;13;4010;990;764;15;1;[7  6  6  3  7  4  6  0  1  2]
159;13;4030;970;772;15;1;[7  6  6  3  7  4  6  0  1  2]
160;13;4048;952;776;15;1;[7  6  6  3  7  4  6  0  1  2]
161;13;4067;933;782;15;1;[7  6  6  3  7  4  6  0  1  2]
162;13;4085;915;789;15;1;[7  6  6  3  7  4  6  0  1  2]
163;13;4103;897;794;15;1;[7  6  6  3  7  4  6  0  1  2]
164;13;4121;879;802;15;1;[7  6  6  3  7  4  6  0  1  2]
165;13;4139;861;811;15;1;[7  6  6  3  7  4  6  0  1  2]
166;13;4159;841;820;15;1;[7  6  6  3  7  4  6  0  1  2]
167;13;4178;822;828;15;1;[7  6  6  3  7  4  6  0  1  2]
168;13;4198;802;836;15;1;[7  6  6  3  7  4  6  0  1  2]
169;13;4218;782;845;15;1;[7  6  6  3  7  4  6  0  1  2]
170;13;4237;763;854;15;1;[7  6  6  3  7  4  6  0  1  2]
171;13;4256;744;864;15;1;[7  6  6  3  7  4  6  0  1  2]
172;13;4274;726;873;15;1;[7  6  6  3  7  4  6  0  1  2]
173;13;4293;707;883;15;1;[7  6  6  3  7  4  6  0  1  2]
174;13;4311;689;892;15;1;[7  6  6  3  7  4  6  0  1  2]
175;13;4329;671;902;15;1;[7  6  6  3  7  4  6  0  1  2]
176;13;4348;652;912;15;1;[7  6  6  3  7  4  6  0  1  2]
177;13;4366;634;919;15;1;[7  6  6  3  7  4  6  0  1  2]
178;13;4384;616;927;15;1;[7  6  6  3  7  4  6  0  1  2]
179;13;4402;598;935;15;1;[7  6  6  3  7  4  6  0  1  2]
