Day,AnimalsCount,GrassCount,FreeFields,AvgAnimalEnergy,AvgDaysAlive,AvgChildCount,MostPopularGen
1,41,169,4831,100.0,0.0,0.0,[6  0  4  0  1  3  2  6  5  5]
2,42,269,4731,93.04878048780488,0.0,0.04878048780487805,[6  0  4  0  1  3  2  6  5  5]
3,42,366,4634,85.95238095238095,0.0,0.09523809523809523,[6  0  4  0  1  3  2  6  5  5]
4,43,463,4537,82.02380952380952,0.0,0.09523809523809523,[6  0  4  0  1  3  2  6  5  5]
5,43,558,4442,76.27906976744185,0.0,0.13953488372093023,[6  0  4  0  1  3  2  6  5  5]
6,43,654,4346,73.02325581395348,0.0,0.13953488372093023,[6  0  4  0  1  3  2  6  5  5]
7,43,747,4253,69.4186046511628,0.0,0.13953488372093023,[6  0  4  0  1  3  2  6  5  5]
8,43,839,4161,66.86046511627907,0.0,0.13953488372093023,[6  0  4  0  1  3  2  6  5  5]
9,43,932,4068,64.65116279069767,0.0,0.13953488372093023,[6  0  4  0  1  3  2  6  5  5]
10,43,1021,3979,62.093023255813954,0.0,0.13953488372093023,[6  0  4  0  1  3  2  6  5  5]
11,43,1110,3890,60.93023255813954,0.0,0.13953488372093023,[6  0  4  0  1  3  2  6  5  5]
12,43,1200,3800,59.76744186046512,0.0,0.13953488372093023,[6  0  4  0  1  3  2  6  5  5]
13,41,1270,3730,61.09756097560975,0.5581395348837209,0.0975609756097561,[6  0  4  0  1  3  2  6  5  5]
14,41,1289,3711,61.951219512195124,0.5581395348837209,0.0975609756097561,[6  0  4  0  1  3  2  6  5  5]
15,41,1307,3693,62.4390243902439,0.5581395348837209,0.0975609756097561,[6  0  4  0  1  3  2  6  5  5]
16,41,1324,3676,64.02439024390245,0.5581395348837209,0.0975609756097561,[6  0  4  0  1  3  2  6  5  5]
17,41,1343,3657,65.2439024390244,0.5581395348837209,0.0975609756097561,[6  0  4  0  1  3  2  6  5  5]
18,41,1360,3640,65.73170731707317,0.5581395348837209,0.0975609756097561,[6  0  4  0  1  3  2  6  5  5]
19,41,1377,3623,66.58536585365853,0.5581395348837209,0.0975609756097561,[6  0  4  0  1  3  2  6  5  5]
20,41,1395,3605,67.4390243902439,0.5581395348837209,0.0975609756097561,[6  0  4  0  1  3  2  6  5  5]
21,28,1413,3587,100.0,6.412655489453758,0.14285714285714285,[6  0  4  0  1  3  2  6  5  5]
22,28,1433,3567,103.03571428571429,6.412655489453758,0.14285714285714285,[6  0  4  0  1  3  2  6  5  5]
23,28,1452,3548,106.07142857142857,6.412655489453758,0.14285714285714285,[6  0  4  0  1  3  2  6  5  5]
24,23,1472,3528,132.82608695652175,8.341416479052159,0.17391304347826086,[6  0  4  0  1  3  2  6  5  5]
25,23,1492,3508,136.95652173913044,8.341416479052159,0.17391304347826086,[6  0  4  0  1  3  2  6  5  5]
26,23,1512,3488,141.7391304347826,8.341416479052159,0.17391304347826086,[6  0  4  0  1  3  2  6  5  5]
27,20,1532,3468,167.75,9.573410678188054,0.2,[6  0  4  0  1  3  2  6  5  5]
