Day;AnimalsCount;GrassCount;FreeFields;AvgAnimalEnergy;AvgDaysAlive;AvgChildCount;MostPopularGen
1;40;34;4966;100;0;0;[0  6  1  2  4  6  1  2  3  3]
2;40;54;4946;95;0;0;[0  6  1  2  4  6  1  2  3  3]
3;40;73;4927;90;0;0;[0  6  1  2  4  6  1  2  3  3]
4;40;93;4907;85;0;0;[0  6  1  2  4  6  1  2  3  3]
5;40;109;4891;80;0;0;[0  6  1  2  4  6  1  2  3  3]
6;40;129;4871;77;0;0;[0  6  1  2  4  6  1  2  3  3]
7;40;148;4852;72;0;0;[0  6  1  2  4  6  1  2  3  3]
8;40;166;4834;67;0;0;[0  6  1  2  4  6  1  2  3  3]
9;40;185;4815;63;0;0;[0  6  1  2  4  6  1  2  3  3]
10;40;205;4795;58;0;0;[0  6  1  2  4  6  1  2  3  3]
11;40;221;4779;53;0;0;[0  6  1  2  4  6  1  2  3  3]
12;40;240;4760;50;0;0;[0  6  1  2  4  6  1  2  3  3]
13;40;258;4742;45;0;0;[0  6  1  2  4  6  1  2  3  3]
14;40;275;4725;41;0;0;[0  6  1  2  4  6  1  2  3  3]
15;40;292;4708;37;0;0;[0  6  1  2  4  6  1  2  3  3]
16;40;312;4688;33;0;0;[0  6  1  2  4  6  1  2  3  3]
17;40;332;4668;28;0;0;[0  6  1  2  4  6  1  2  3  3]
18;40;351;4649;23;0;0;[0  6  1  2  4  6  1  2  3  3]
19;40;368;4632;19;0;0;[0  6  1  2  4  6  1  2  3  3]
20;40;385;4615;15;0;0;[0  6  1  2  4  6  1  2  3  3]
21;23;481;4519;19;9;0;[3  7  1  1  0  1  1  4  6  6]
22;23;500;4500;15;9;0;[3  7  1  1  0  1  1  4  6  6]
23;23;518;4482;12;9;0;[3  7  1  1  0  1  1  4  6  6]
24;10;600;4400;21;13;0;[3  7  1  1  0  1  1  4  6  6]
25;10;620;4380;18;13;0;[3  7  1  1  0  1  1  4  6  6]
26;10;638;4362;14;13;0;[3  7  1  1  0  1  1  4  6  6]
27;6;677;4323;23;14;0;[3  7  1  1  0  1  1  4  6  6]
28;6;697;4303;20;14;0;[3  7  1  1  0  1  1  4  6  6]
29;6;717;4283;18;14;0;[3  7  1  1  0  1  1  4  6  6]
30;2;755;4245;38;16;0;[1  4  6  0  7  6  5  0  3  3]
31;2;775;4225;33;16;0;[1  4  6  0  7  6  5  0  3  3]
32;2;795;4205;28;16;0;[1  4  6  0  7  6  5  0  3  3]
33;2;815;4185;23;16;0;[1  4  6  0  7  6  5  0  3  3]
34;2;835;4165;18;16;0;[1  4  6  0  7  6  5  0  3  3]
35;2;855;4145;13;16;0;[1  4  6  0  7  6  5  0  3  3]
36;1;878;4122;15;16;0;[1  4  6  0  7  6  5  0  3  3]
37;1;897;4103;25;16;0;[1  4  6  0  7  6  5  0  3  3]
38;1;917;4083;35;16;0;[1  4  6  0  7  6  5  0  3  3]
39;1;937;4063;30;16;0;[1  4  6  0  7  6  5  0  3  3]
40;1;957;4043;25;16;0;[1  4  6  0  7  6  5  0  3  3]
41;1;977;4023;20;16;0;[1  4  6  0  7  6  5  0  3  3]
42;1;997;4003;15;16;0;[1  4  6  0  7  6  5  0  3  3]
43;1;1017;3983;10;16;0;[1  4  6  0  7  6  5  0  3  3]
44;1;1037;3963;5;16;0;[1  4  6  0  7  6  5  0  3  3]
45;0;1037;3963;0;17;0;[1  4  6  0  7  6  5  0  3  3]
46;0;1037;3963;0;17;0;[1  4  6  0  7  6  5  0  3  3]
