Day;AnimalsCount;GrassCount;FreeFields;AvgAnimalEnergy;AvgDaysAlive;AvgChildCount;MostPopularGen
1;1086;104;4896;100,000;0,000;0,158;[3  7  3  1  5  1  5  3  1  1  3  0  0  7  2  0  7  2  7  1  0  7  5  2  1  4  2  4  7  3  4  1  6  7  6  5  6  7  6  1  3  7  5  6  0  4  3  2  6  4]
2;1150;107;4893;87,698;0,000;0,261;[3  7  3  1  5  1  5  3  1  1  3  0  0  7  2  0  7  2  7  1  0  7  5  2  1  4  2  4  7  3  4  1  6  7  6  5  6  7  6  1  3  7  5  6  0  4  3  2  6  4]
3;1211;111;4889;78,317;0,000;0,348;[3  7  3  1  5  1  5  3  1  1  3  0  0  7  2  0  7  2  7  1  0  7  5  2  1  4  2  4  7  3  4  1  6  7  6  5  6  7  6  1  3  7  5  6  0  4  3  2  6  4]
4;1264;113;4887;69,822;0,000;0,418;[3  7  3  1  5  1  5  3  1  1  3  0  0  7  2  0  7  2  7  1  0  7  5  2  1  4  2  4  7  3  4  1  6  7  6  5  6  7  6  1  3  7  5  6  0  4  3  2  6  4]
5;1297;106;4894;62,318;0,000;0,458;[3  7  3  1  5  1  5  3  1  1  3  0  0  7  2  0  7  2  7  1  0  7  5  2  1  4  2  4  7  3  4  1  6  7  6  5  6  7  6  1  3  7  5  6  0  4  3  2  6  4]
6;1339;108;4892;56,172;0,000;0,506;[3  7  3  1  5  1  5  3  1  1  3  0  0  7  2  0  7  2  7  1  0  7  5  2  1  4  2  4  7  3  4  1  6  7  6  5  6  7  6  1  3  7  5  6  0  4  3  2  6  4]
7;1361;106;4894;49,768;0,000;0,530;[3  7  3  1  5  1  5  3  1  1  3  0  0  7  2  0  7  2  7  1  0  7  5  2  1  4  2  4  7  3  4  1  6  7  6  5  6  7  6  1  3  7  5  6  0  4  3  2  6  4]
8;1375;120;4880;44,352;7,000;0,545;[3  7  3  1  5  1  5  3  1  1  3  0  0  7  2  0  7  2  7  1  0  7  5  2  1  4  2  4  7  3  4  1  6  7  6  5  6  7  6  1  3  7  5  6  0  4  3  2  6  4]
9;1377;117;4883;39,069;7,000;0,548;[3  7  3  1  5  1  5  3  1  1  3  0  0  7  2  0  7  2  7  1  0  7  5  2  1  4  2  4  7  3  4  1  6  7  6  5  6  7  6  1  3  7  5  6  0  4  3  2  6  4]
10;1343;191;4809;35,201;7,947;0,538;[3  7  3  1  5  1  5  3  1  1  3  0  0  7  2  0  7  2  7  1  0  7  5  2  1  4  2  4  7  3  4  1  6  7  6  5  6  7  6  1  3  7  5  6  0  4  3  2  6  4]
